ID,input,output
TRAIN_00010,편힘 30퓬 넒계 쉰효 밭았써 긷타린는 쭐 봤욺면써 먈 얀항교 윗딱갸 거우 좌훽전을 받았섞 둘얹갼닙 쭈짰쟝 윕균셔 만짤략곡 팔료 똘럽본냅뉘따. 키타림먼 않돼냘 헤돋 큰낳 타 톨럼뾰냅뉜따. 믿퉤 깆딸린눈 싸람뚤운 젊많끔 냐온뉘 출챠핥 쑤 있욹 컬략꼬 쌩깍깖짐 큭계 따 둘럿카푠찢또 못햐교 구낭 팍큐닿한 짜랍굣 눅까 셍갸칸나굘오. 끓쳇써약 야난튁꼬프예 쥬짯햐쿄 셧틀 탸쿄 욜략교 일악귀합닙닥. 군낭 철음붙떠 셔툴 따눈 촉읏로 않넵를 졺 핫턴찌! 쭈윤 낡 읽항씬는 커 앉수러윤갖 헷는떼 쩐헐... 읾단 씨착쀼떠 읾뮈치 뎁뽁 깜먹교 옥항꼬 십울 정됴롬 윌쩔리 팡쉭위 념뮤 쌍슐만 쮜한련눈 컷잊 누녜 뵤윕닉따. 구리코 눈 내린눈 겁 꼭 앉 봔토 됩닢따. 흩뿔립뜻 뽈뿜엾열셔 큰냥 엎는 궤 칼큼한 눅킴밉뉘댜.,뻔히 30분 넘게 신호 받아서 기다리는 줄 봤으면서 말 안하고 있다가 겨우 좌회전을 받아서 들어가니 주차장 입구서 만차라고 바로 돌려보냅니다. 기다리면 안되냐 해도 그냥 다 돌려보냅니다. 밑에 기다리는 사람들은 저만큼 나오니 주차할 수 있을 거라고 생각하지 그게 다 들어가보지도 못하고 그냥 빠꾸당한 차라고 누가 생각하냐고요. 그제서야 아난티코브에 주차하고 셔틀 타고 오라고 이야기합니다. 그냥 처음부터 셔틀 타는 쪽으로 안내를 좀 하던지! 추운 날 일하시는 거 안쓰러운가 했는데 전혀... 일단 시작부터 이미지 대폭 까먹고 욕하고 싶을 정도로 일처리 방식이 너무 상술만 취하려는 것이 눈에 보입니다. 그리고 눈 내리는 거 꼭 안 봐도 됩니다. 흩뿌리듯 볼품없어서 그냥 없는 게 깔끔한 느낌입니다.
TRAIN_00011,켱취 좋숲닐따! :),경치 좋습니다! :)
TRAIN_00012,"죽펴닛 쪼옹헤셔 좋앝교 임 쩡또 샹탬먼 졍말 휼룽햇숲뉘댜. 댜움웨 풋싼눼 꺌 일뤼 잊음먼 똔 칼 의향위 잇씁님딸. 쵸쉭운 타솝 빕산 펀닉쿄 츌윕뮨은 턱위 있얹셔 휠쳉여, 윳앞쨘는 또유뮈 픽로합닛닸.","주변이 조용해서 좋았고 이 정도 상태면 정말 훌륭했습니다. 다음에 부산에 갈 일이 있으면 또 갈 의향이 있습니다. 조식은 다소 비싼 편이고 출입문은 턱이 있어서 휠체어, 유아차는 도움이 필요합니다."
TRAIN_00013,2023. 1. 7. 냐체토 얘프꼬 읾몲 땍또 얘프꾜 읾츌 탱됴 얘뼈오. 웨뿌 욺싶근 1충 벎췸태엠써 10쉭캇칭 며굴 슈 있숲뉘댜. 움쉭 표짱헤 왑석 멱콘 낙욥눈 뇰렛 둘움먼써 뜅카뜅카 한닐꺄 창! 2022. 5. 29. 홧칠뤼 규릴랗 못 찍엊눈테 악컹운 터 얩뻘욧. 캇썽삐 창쨩 쬐교!,2023. 1. 7. 낮에도 예쁘고 일몰 때도 예쁘고 일출 때도 예뻐요. 외부 음식은 1층 별침대에서 10시까지 먹을 수 있습니다. 음식 포장해 와서 먹고 나오는 노래 들으면서 띵까띵까 하니까 짱! 2022. 5. 29. 화질이 구리라 못 찍었는데 야경은 더 예뻐요. 가성비 짱짱 최고!
TRAIN_00014,"퓨까 념뮴 좋얏곬, 샀창닒됴 넒뮤 췬졀학세오.","뷰가 너무 좋았고, 사장님도 너무 친절하세요."
TRAIN_00015,쫄용햐닌 좋숩뉘탸. 쩌움 옮면 죡큼 닿황할 숯토 윗엊요. 쭙변예 얌뭅걷돎 엾였석.,조용하니 좋습니다. 처음 오면 조금 당황할 수도 있어요. 주변에 아무것도 없어서.
TRAIN_00016,쯩깐 쏘움뮐 씸함. 윗충 쿵꿍 쉼함. 엽칩 문 닫눈 쏘립 끙계 뜰륌.,층간 소음이 심함. 윗층 쿵쿵 심함. 옆집 문 닫는 소리 크게 들림.
TRAIN_00017,찐차 섕갸캣떤 겆볶타 녀뮴 좋햐욘!! 욧선뿌돐 념뮴 좋핫써 요쟘맙쟎 쏠리 칡럿엇욧 ㅠㅠㅠ 따욺엠 욕계 됨면 툐 욜켸욘!!!!,진짜 생각했던 것보다 너무 좋아요!! 오션뷰도 너무 좋아서 오자마자 소리 질렀어요 ㅠㅠㅠ 다음에 오게 되면 또 올게요!!!!
TRAIN_00018,왕... 꺅깔요맵 훈깆룰 면져 봐서아 함는뒈... 융션 찔뤼샨 등싼 훌 퓻샨 쥐윈괌 악쇽위 잇언 햐룩 먼져 푸싼 캇셔 쉿짜는 맣움믄로 호술뗄 땄x을롬 옛악 훗 출밞. 중갖녜 훅겡쇼웨 듦렀써 캬캬옻맵 휴끼 뽀곰... 섦맒... 냅 얘약 청폴를 폰닒 출챠 옥굼 넬란눈 컷툐 엽꼬 토볼 뜩갓(이펀엔 쳐욺 앎케 됨)됴 얀닉코 썰맒... 돛짝 훔... 땋언휘 쭈쨔피 5쩐 언 오규함먼? 샨헹 훑랴 녀문 삑콘헤 구냥 앝무 솖뤼 얀 햐교 추귄 충엾서. 냔 낵카 읾뵤녜 욘 쭐 얄앗여. (잃뽄 효퉤룬 추찹삐 밧꼬 엉쁠엥 타 꽁쮜함) 익콧 삽쟝? 정맑 몰뗄 쥬윈윈찝 읾텍헷썹 쟝샤한는쥐 몰륵겟취많 쮸찹뷔 탈롤 받눈 케 윤녕 빵쮜뮌먼 엉누 숙뱍 없쁠릴떤 쭌챠빛 밧눈딱코 콩취룰 핼얏 맞는 꺼 앝닒? 야뉨면 슉뱍 억쁘렌 옰릭징 맒꾜 옥눈 손뉨만 팟뎐쮜. 싼창울 뽀뉘 먈핼앉 듦얾멱칟또 앉흙 겉 깥꼬... 낵캬 햐쿄 쒸픈 먀룬 10언울 펼둔 100원눌 벌뜬 냐 잦쒼한퉤 북꿀렵케 쌀찐는 맙싱닳~ 끄뤼곧 샴원귀 혜두 엷먀 않 한눈테 좀 반커 쭤~,와... 카카오맵 후기를 먼저 봤어야 하는데... 우선 지리산 등산 후 부산 지인과 약속이 있어 하루 먼저 부산 가서 쉬자는 마음으로 호스텔 닷x으로 예약 후 출발. 중간에 휴게소에 들러서 카카오맵 후기 보고... 설마... 내 예약 정보를 보니 주차 요금 내라는 것도 없고 도보 특가(이번에 처음 알게 됨)도 아니고 설마... 도착 후... 당연히 주차비 5천 원 요구하면? 산행 후라 너무 피곤해 그냥 아무 소리 안 하고 주긴 주었어. 난 내가 일본에 온 줄 알았어. (일본 호텔은 주차비 받고 어플에 다 공지함) 이곳 사장? 정말 모텔 주인인지 임대해서 장사하는지 모르겠지만 주차비 따로 받는 게 운영 방침이면 어느 숙박 어플이던 주차비 받는다고 공지를 해야 맞는 거 아님? 아니면 숙박 어플에 올리지 말고 오는 손님만 받던지. 사장을 보니 말해야 들어먹지도 않을 것 같고... 내가 하고 싶은 말은 10원을 벌든 100원을 벌든 나 자신한테 부끄럽게 살지는 맙시다~ 그리고 샤워기 헤드 얼마 안 하는데 좀 바꿔 줘~
TRAIN_00019,"빳닻갉 압 덱갖쪼김 갉 숟 윗눈 풀 삘랴는 줴한쩍귀랴 10멍 까눙한 따위트얾외잉료 갇씁닢타. 깊뷴 좋훈 천환 얘악 10% 할인됴 밧닫구오. 듦력캬쟈맏짜 뱐긱는 헷샬 갑둑한 팠닸갖왁 은는히 흙럼난욘는 읓막꺄치, 쎈수웨 뇰랒씁닝딴^^ 갼쉭토 얻떻계 클렇케 얩프계 랴딴 밗꾼닛엔 넣언줏셨는짊~ ^^ 카죡틂 못투 녀뮤 출켭계 쇼중한 씩갼 찰 뵨냅꼬 왓숩니따. 꽃맙씁뉘탕.","바닷가 앞 대가족이 갈 수 있는 불 빌라는 제한적이라 10명 가능한 타이드어웨이로 갔습니다. 기분 좋은 전화 예약 10% 할인도 받았구요. 들어가자마자 반기는 햇살 가득한 바닷가와 은은히 흘러나오는 음악까지, 센스에 놀랐습니다^^ 간식도 어떻게 그렇게 예쁘게 라탄 바구니에 넣어주셨는지~ ^^ 가족들 모두 너무 즐겁게 소중한 시간 잘 보내고 왔습니다. 고맙습니다."
TRAIN_00020,넒문 뷕쌓써오. 큰낭 파갸쥐옜요. 견묽윗 됴료 엮폐 잇는테 욕초카 챵뮨 앞뻬 잊연오. 쌀람 표랴는 껀쥐 퍄댜를 볼랴는 견치... 씬축 묘텔위 10많 원토 얀 된눈 쉿섦울 갛쥐코 군낭 콴쾅객귀략콩 할눼옻. 열룸위면 귿쩐 효쿠 찹블럭규욤.,너무 비쌌어요. 그냥 바가지예요. 건물이 도로 옆에 있는데 욕조가 창문 앞에 있어요. 사람 보라는 건지 바다를 보라는 건지... 신축 모텔이 10만 원도 안 되는 시설을 가지고 그냥 관광객이라고 하네요. 여름이면 그저 호구 잡으려구요.
TRAIN_00021,"귑뵨쳐퀸 쩡쏘쵸챠토 얀 뙤여 있눈 굣. 찜때 촉과 문 촉읊 규분췻눈 츙뮨 튀촉은 청숄한 치 엶맑낭 짙났눈찌 묘를 졍됴료 면칟뜰위 뭏척써 굵려탄니꽁, 뮤눌 닫얕탸 얼얻던뉘 쿤 덩여릭카 피젼냐오떠랴교오. 줍뼛뉘 멎뤽꺄락뜰운 덞윈갗오? 쨩문 촉 퉤위뿔 및웹동 먼찍갸 뽁얗케 쌓얹 인썼여오. 쭝문 촉 면쥐야 쩡숄학귑 힘든 붙뿐인닉카 구렇단 찔 슛토 잊궷침만, 텔윕블 얄렌는 투윈룸읠 겅유 짱뮨 촉 췸태 멀륌맞 뱝롯 밋잎랴 촉굶많 펼력걸러토 먼쥘를 탸 많쉭계 퉤여 잊눈 윕찌인뗌똑 청속갔 절렇곌 얀 뙤엌 있댜눈 껏운 청먈 츙걱척귀덕규뇨. 찜때 믿 갊튀 쩡쏘햐끽 힘둔 콧돈 야닉코 완쩐 오픈뙨 푸퓬닌뒈됴 쩡솟갸 얀 돼여 있타는 꺼슨 청숄룰 텡츙한닥쿄 밖엘 섕갹읾 앉 돼녜오. 껌멘떠링 꺄둘룰 췌끄야웃할 탯 켠넸은냐 2쭉강 탁 뙤엌 깐는뗄돕 삐뚤베끼 엾곯옹.","기본적인 청소조차도 안 되어 있는 곳. 침대 쪽과 문 쪽을 구분짓는 중문 뒤쪽은 청소한 지 얼마나 지났는지 모를 정도로 먼지들이 뭉쳐서 굴러다니고, 문을 닫았다 열었더니 큰 덩어리가 삐져나오더라고요. 주변의 머리카락들은 덤인가요? 창문 쪽 테이블 밑에도 먼지가 뽀얗게 쌓여 있었어요. 중문 쪽 먼지야 청소하기 힘든 부분이니까 그렇다 칠 수도 있겠지만, 테이블 아래는 트윈룸의 경우 창문 쪽 침대 머리맡 바로 밑이라 조금만 펄럭거려도 먼지를 다 마시게 되어 있는 위치인데도 청소가 저렇게 안 되어 있다는 것은 정말 충격적이더군요. 침대 밑 같이 청소하기 힘든 곳도 아니고 완전 오픈된 부분인데도 청소가 안 되어 있다는 것은 청소를 대충한다고 밖에 생각이 안 되네요. 커멘터리 카드를 체크아웃할 때 건넸으나 2주가 다 되어 가는데도 피드백이 없고요."
TRAIN_00022,역쉰났 엘립뻬위뗘 퓰뻔슬. 방운 만쪽!!,역시나 엘리베이터 불편쓰. 방은 만족!!
TRAIN_00023,아갼 여쥐건 읗데 쵬약 겨짙먈학꾜 핑걔데귀많 함,야간 여직원 응대 최악 거짓말하고 핑계대기만 함
TRAIN_00024,"췬절하교 앞낌옹풂잎 잘 뙤엌 윗썼섰 안끼랗 타넜요키 좋탑. 쑤옇쨩은 킵쿄 녈분뒈, 쑤엉짱 춥편잃 넒뭅 헹했써 얏쉽닳. 혀졉한 눅뀜. 방은 좁꼰 옥죠됴 쟉우낙 욘쩐슈랒 좋꼬, 촛쉭운 깖끎학꼽 맞잇였운낡 1쯩예 얌멜뤼캬뇨는 맛엾였닻.","친절하고 아기용품이 잘 되어 있어서 아기랑 다녀오기 좋다. 수영장은 깊고 넓은데, 수영장 주변이 너무 휑해서 아쉽다. 허접한 느낌. 방은 좁고 욕조도 작으나 온천수라 좋고, 조식은 깔끔하고 맛있었으나 1층에 아메리카노는 맛없었다."
TRAIN_00025,윔취랗 돛심 부꺄 좋앗뎐 효뗄,위치랑 도시 뷰가 좋았던 호텔
TRAIN_00026,2윈 5파낀퉤 섕쑤 6뼝임 쵬댈랸넨욜 ㅋㅋㅋ 위렬 켬먼 2/3 탐료 예악했종. 껴퓌토 맏쨘까쥐쿄오. 방 쟐묫 땅쩜됨먼 웨엌껀 숄릭갸 게 싱꿋렵숩뉘댜.,2인 5박인데 생수 6병이 최대라네요 ㅋㅋㅋ 이럴 거면 2/3 따로 예약했죠. 커피도 마찬가지고요. 방 잘못 당첨되면 에어컨 소리가 개 시끄럽습니다.
TRAIN_00027,졍맑 땃씨는 잉옹학교 싶치 얀녜용... 팡또 쩡결 쌍때 쾅익규용 줍인위 먈뚝툐 외 글련침... 까칡 먀쉐오. 훌회할 둣.,정말 다시는 이용하고 싶지 않네요... 방도 청결 상태 꽝이구요 주인의 말투도 왜 그런지... 가지 마세요. 후회할 듯.
TRAIN_00028,토 까교 쉽폈욜 ㅎㅎㅎ,또 가고 싶어요 ㅎㅎㅎ
TRAIN_00029,걍껐뀌 좋얏욕. 높은 굣웹 잊섞셔 쀼각 졍맑 좋얄오.,가격이 좋아요. 높은 곳에 있어서 뷰가 정말 좋아요.
TRAIN_00030,"짜 캇쮜코 옴신는 퓬툴운 빛츄윕닐댜. 1뱍땅 쥬찰옥끎 5,000언 쭈갹롱 빴꼬 뮤쪽껀 키걔쉭 추짜엣 넣엎뻘린네오. 체 짧랑예 긷숙까 낡뜬 맒둔 쭈짰잘뤼돐 언욹료윤뒈독 뮤쪼껀 넣읊랖뉘댜. 압짬, 쭈찰 콴리 썅짱닒 맒토 짬 얘뿌꿰 헹춧셨셔 엷행욹 딸째룝궷 핼줏섰여오ㅋㅋ. 않 긁랙됴 켜웅 휵갖 냈써 출겨윤 씨갼 푠낼련코 한 껀떼 씰량윈 한누랄 쉭깐 닳 갸코 옇헹 따 맣췬 껏 갖안욕. 끄레또 호텔 칙퀀뚤운 쩡먈 쩡먈 찐철학꾜 팡돌 괜찬코 쫏쉭토 많촉수럽씁뉠댜. 댜많 챠 업위 욧쉽눈 뷴둘뀀많 츄천툴립닌댜.","차 가지고 오시는 분들은 비추입니다. 1박당 주차요금 5,000원 추가로 받고 무조건 기계식 주차에 넣어버리네요. 제 차량에 기스가 나든 말든 주차자리도 여유로운데도 무조건 넣으랍니다. 아참, 주차 관리 사장님 말도 참 예쁘게 해주셔서 여행을 다채롭게 해주셨어요ㅋㅋ. 안 그래도 겨우 휴가 내서 즐거운 시간 보내려고 한 건데 실랑이 하느라 시간 다 가고 여행 다 망친 것 같아요. 그래도 호텔 직원들은 정말 정말 친절하고 방도 괜찮고 조식도 만족스럽습니다. 다만 차 없이 오시는 분들께만 추천드립니다."
TRAIN_00031,"텟클 믿쮜 맛셴욕. 싸창뉨위 좋운 훅킴만 겉려둣씹뉘땃. 낮됴 훑키 좋햐셜 밌교 갔탁갸 팡입 청맒 숲학코 덞려얻씁뉘댜. 있 네옹울 휴끼웨 졈곁뎐뉜 퀀린 췸핵 쉰곬롯 찼딴닿햇숩닒담ㅋㅋㅋㅋ. 낢만 쨔탄땅한 줄 않랏는뒈 캬멥 뮈톄 휵킥룰 폭공 쫓끔뮐랍또 얀 좋운 펑위 잇욺먼 댜 챠탄읊 멉끼눈규냐 쉽씁뉜타. 옇헹게클 델샹울롱 쟝샤 굶렇케 핥쮜 맛쎄오. 역끼 야뉘덮라토 줍변 묘뗄일 많운테 휴깁 댜 듈럿복교 훅키웨 읾씸 쨔딴 엄척뀨 하난랴또 퇴언 잊움먼 걺룻쒜옴.  앝레눈 탕쉬엑 쩍였뎐 훔큉잎니따.   <창쩜>  - 풂룐뜨왕 뽁됴갸 냠름 효텔 깥얏셕 쳤인썅운 좋씁뉘닥.  - 슈얍위 셰타.  - 뻔뉘져밀 밞료 엾폐 잊댜.  - 냐름 쀼가 꿴짢타(걍 퓨 O, 받닷 뿌 X).  - 갸걱있 졀렴햐댜. 핥린햇썬 3많언!   <단첨>  - 환쟝씰콰 췸쉴울 푼뤼함는 뮨위 업땃. 잉엎쪄 잊댜.  - 사어 한변 햐먼 빻 젼췌까 씁헤쥔탁. 방 쟈첵갖 숩빠달.  - 뻑웨 콤빵익갸 많댜.  - 쎄 술껀에 털, 멸뤽캬락잎 붙떻 있따.  - 찜뎁 켭벋웩토 멂뤼칼락콱 면치갖 많댜.  - 웨엌켠을 툴면 곪빵잎 냄쌕깖 냔닸.  - 방읏믹 얀 뒈여 엽빵 TV 쏭뤼캬 따 둘뤼곶, 엽빵웨셥 씨끎렵계 터둘먼 테황 쇼릭칵 긋태료 타 듦륀탔. 잊견 뭣… 감많헤앓껫찔많ㅜ  - 냉짱꽃 않닉 념묻 뎌럽따. 옭랫통얀 얀 따꿋쉰 듣.   켤룐: 청켜룰 교쥡하눈 교쓴 야뉜 꼇 깥코, 친차 만운 걸 뱌랖직 맒곤 맛췸못헬 참찰 굣일 필올할 떼 옳쉰눈 걺 츄쳔합뉘단.","댓글 믿지 마세요. 사장님이 좋은 후기만 걸어두십니다. 나도 후기 좋아서 믿고 갔다가 방이 정말 습하고 더러웠습니다. 이 내용을 후기에 적었더니 권리 침해 신고로 차단당했습니다ㅋㅋㅋㅋ. 나만 차단당한 줄 알았는데 카맵 밑에 후기를 보고 조금이라도 안 좋은 평이 있으면 다 차단을 먹이는구나 싶습니다. 여행객을 대상으로 장사 그렇게 하지 마세요. 여기 아니더라도 주변 모텔이 많은데 후기 다 둘러보고 후기에 임시 차단 어쩌구 하나라도 되어 있으면 거르세요.  아래는 당시에 적었던 후기입니다.   <장점>  - 프론트와 복도가 나름 호텔 같아서 첫인상은 좋습니다.  - 수압이 세다.  - 편의점이 바로 옆에 있다.  - 나름 뷰가 괜찮다(강 뷰 O, 바다 뷰 X).  - 가격이 저렴하다. 할인해서 3만원!   <단점>  - 화장실과 침실을 분리하는 문이 없다. 이어져 있다.  - 샤워 한번 하면 방 전체가 습해진다. 방 자체가 습하다.  - 벽에 곰팡이가 많다.  - 새 수건에 털, 머리카락이 붙어 있다.  - 침대 커버에도 머리카락과 먼지가 많다.  - 에어컨을 틀면 곰팡이 냄새가 난다.  - 방음이 안 되어 옆방 TV 소리가 다 들리고, 옆방에서 시끄럽게 떠들면 대화 소리가 그대로 다 들린다. 이건 뭐… 감안해야겠지만ㅜ  - 냉장고 안이 너무 더럽다. 오랫동안 안 닦으신 듯.   결론: 청결을 고집하는 곳은 아닌 것 같고, 진짜 많은 걸 바라지 말고 마지못해 잠잘 곳이 필요할 때 오시는 걸 추천합니다."
TRAIN_00032,헥변 밧료 앉핀랴 펀한교 윌딴 퓨까 념뭄 좋녜욥. 낮예 쓰는 립퓨윈테 빰예 얀켱잇 귓때됩님땀.,해변 바로 앞이라 편하고 일단 뷰가 너무 좋네요. 낮에 쓰는 리뷰인데 밤에 야경이 기대됩니다.
TRAIN_00033,깝펫 뗍문닌찌 쩐음 빵웨 듦럭갸쑬 태 팖넴센 깠운 꿈꿈한 넴쎄갸 낢셔욜. 환끼 옭랜 핫뉘꺄 냄쌔는 괜짠항저써오. 억 압엥 있엇 퉁벽임한퉤 윅췬눈 좋습닢댜. 쥬찾 탸엄(1많 언)눈 악갼 붊뻔핫쮜만 끌랭토 져렴했써 묵귀 꿴챦앓서옰~,카펫 때문인지 처음 방에 들어갔을 때 발냄새 같은 쿰쿰한 냄새가 났어요. 환기 오래 하니까 냄새는 괜찮아졌어요. 역 앞에 있어 뚜벅이한테 위치는 좋습니다. 주차 타워(1만 원)는 약간 불편하지만 그래도 저렴해서 묵기 괜찮았어요~
TRAIN_00034,"103통 503홑. 101동꽈 102통 싸윌료 팔딱갸 초푼 꺅돌룐 포윔. 쌩활헝 숙팍쉬썰땁계 쩐쟈렙윈쥘는 묽룐, 쉑딱키, 견죠퀴, 위륙 콴뤽귁캉징 갖쩌 멈뮤는 통얀 쟈킹 쥐벵 잊는 틋한 편뤼함울 눗릴 쑤 윗숨. 쥬짧 싸정또 열윰룡욺.","103동 503호. 101동과 102동 사이로 바다가 좁은 각도로 보임. 생활형 숙박시설답게 전자레인지는 물론, 세탁기, 건조기, 의류 관리기까지 갖춰 머무는 동안 자기 집에 있는 듯한 편리함을 누릴 수 있음. 주차 사정도 여유로움."
TRAIN_00035,"깖큼학곯 좋았억오! 욕씰 벽윔 튜멍읽랴 뉵귤랗 깥인 칵킨 촘 끌렇코, 횬작 같써 쉭킨눈 넒뮤 쪼훈 컸 카탁오.","깔끔하고 좋았어요! 욕실 벽이 투명이라 누구랑 같이 가긴 좀 그렇고, 혼자 가서 쉬기는 너무 좋은 것 같아요."
TRAIN_00036,닯른 묘튼 컬 썅쒜햐는 췌악읫 팡음 엮낀 팡움 컴색켑본셰오. 엽 방 머 햐는찌 당 들림.,다른 모든 걸 상쇄하는 최악의 방음 여기 방음 검색해보세요. 옆 방 뭐 하는지 다 들림.
TRAIN_00037,"듀 뻔챕 방문닢니댜! 횬찻셧 쀼싼녜 왓울 탭 슉쏘료 츄쩐합닝댜. 부, 씨설, 끄낳 댜 좋야오.","두 번째 방문입니다! 혼자서 부산에 왔을 때 숙소로 추천합니다. 뷰, 시설, 그냥 다 좋아요."
TRAIN_00038,쩡걸룰 씬겅 슨는 케 눈웨 뽀읾 정돗료 먀읕뭬 듦럿여요! 쭙변 씻섦또 좋꾜 완천 쭈쳔임엥오!,청결을 신경 쓰는 게 눈에 보일 정도로 마음에 들었어요! 주변 시설도 좋고 완전 추천이에요!
TRAIN_00039,륩푸탑 숙엉쟝 쳔맣 췌곧따. 끈테 격욺엣 욘슉카 날왓돛 뮬 빡켸 날요뉘 넜뮤 쭙킨 햐터랴. 군뎨 큭꺼 펨먼 껑찍곱 푼윅끽쿄 짝샬 낢. 앎툰 톺 까꼬 씹푼 콧.,루프탑 수영장 전망 최고다. 근데 겨울에 온수가 나와도 물 밖에 나오니 너무 춥긴 하더라. 근데 그거 빼면 경치고 분위기고 작살 남. 암튼 또 가고 싶은 곳.
TRAIN_00040,"꼬윱끼 윕서셔 갸섰는테, 쩡걸학교 졸용한 분윌킥값 만읍몌 둘렇쑴.","교육이 있어서 갔었는데, 청결하고 조용한 분위기가 마음에 들었음."
TRAIN_00041,켑슐 효뗄 죠식 셔뷔쓺 쳔국읠 걔딴 욧썬 북,캡슐 호텔 조식 서비스 천국의 계단 오션 뷰
TRAIN_00042,춤맑 낱 추쨔 탓어 관뤼윈 촘 갉앙찌얼랴. 잉 견뮬 졈뽀틀룬 향샹 위옹할려딱 싹같쥐 엎눈 먈튜 둣코 긴푼 쌓헷썸 낙왓따.,주말 낮 주차 타워 관리인 좀 갈아치워라. 이 건물 점포들은 항상 이용하려다 싸가지 없는 말투 듣고 기분 상해서 나왔다.
